"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Vietnam","VNM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","11600","12100","12600","13100","13600","14100","14600","15100","15600","16150","16500","17150","17450","17750","18062","18397","21167","22768","24347","24105","24534","24610","23722","29659","31620","30768","22578","22405","22127","25086","35375","37627","45776","89106","97817","109501","115487","122958","145850","162746","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","844.066929464061","820.877835474173","326.265944482734","291.608550731916","339.373953620917","336.588911590121","299.088975198323","402.215395022408","316.736967040993","299.018531516777","259.294154873485","317.141571129763","","","",
"Vietnam","VNM","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304.963939393939","342.302689560857","403.907102558158","292.26533501101","300.165248897291","353.006529732471","305.698686828492","407.72","323.33975394557","311.456110477559","295.996138755683","373.761447850846","","","",
"Vietnam","VNM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","62920","62970","63020","63070","63120","63170","63420","63670","63820","64170","64220","64470","64820","65070","65120","67220","68120","68360","68500","68580","68760","68840","69020","69100","67500","67250","67100","67100","67150","67260","67510","70250","70870","71400","70790","76820","78440","80550","84130","87800","94830","94550","95370","97956","100541","100780","100626","102408","102920","107686","107933","108528","108737","","","",
"Vietnam","VNM","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","19.3308550185874","19.3462164736244","19.3615779286614","19.3769393836984","19.3923008387354","19.4076622937725","19.4844695689576","19.5612768441427","19.6073612092537","19.7148913945129","19.7302528495499","19.807060124735","19.9145903099942","19.9913975851793","20.0067590402163","20.6519401517712","20.9284463424376","21.0021813266153","21.0451934007189","21.0697717287782","21.1250729669114","21.1496512949707","21.2049525331039","21.2295308611632","20.7379642999785","20.6611570247934","20.6150726596823","20.6150726596823","20.6304341147193","20.6642293158008","20.7410365909859","21.5828443270147","21.7733263694737","21.9361577928661","21.7487480414145","23.6013395188792","24.0990506620787","24.747304064641","25.8471842452917","28.2260657107953","30.4831399273522","30.4459829335051","30.7575708710936","31.5915760957203","32.4252588125262","32.5023381817009","32.4526719772955","33.0273809139872","33.1925049182443","34.7295771922469","34.8092366239881","35.0011287773729","35.0685329119231","","","",
"Vietnam","VNM","Arable land (hectares)","AG.LND.ARBL.HA","","5550000","5550000","5550000","5550000","5550000","5550000","5570000","5590000","5600000","5630000","5630000","5650000","5680000","5700000","5700000","5900000","5980000","5999000","5970000","5940000","5910000","5880000","5850000","5820000","5616000","5570000","5527000","5460000","5400000","5339000","5368000","5506000","5516000","5464000","5403000","5554000","5668000","5763000","6000000","6200000","6649000","6600000","6581000","6469500","6358000","6348000","6309600","6282500","6300000","6437600","6401300","6422800","6409500","","","",
"Vietnam","VNM","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.156655752512137","0.153641724109293","0.15066782495385","0.147708521850216","0.144753657964059","0.141791426089622","0.139319659829915","0.136822009007245","0.134057884279319","0.131760630953217","0.128759291023442","0.126234416193753","0.123949809056192","0.121488554499339","0.118675827607745","0.120021156271614","0.118898498856745","0.116630375612412","0.113554228325788","0.110614525139665","0.108000438580461","0.105590173649146","0.103256552819698","0.100880538029536","0.0953998776924645","0.0924496672143936","0.0895060728744939","0.086306371812908","0.083366782968475","0.0808734759538117","0.0798305830844824","0.0804381586002066","0.079202234203706","0.0771484443942421","0.0750463570639832","0.0759192254434659","0.0762782460309877","0.0763753324772087","0.0783323563547777","0.0798651052609206","0.08457081804364","0.0829795178890011","0.0817846730477187","0.0794423623834059","0.0771675925240405","0.0761962377207386","0.0749194060687379","0.0738086930369002","0.0732345248474281","0.0740528571017744","0.0728577070645104","0.0723213360777937","0.0714074833304553","","","",
"Vietnam","VNM","Arable land (% of land area)","AG.LND.ARBL.ZS","","17.0512150910934","17.0512150910934","17.0512150910934","17.0512150910934","17.0512150910934","17.0512150910934","17.1126609112415","17.1741067313896","17.2048296414636","17.2969983716858","17.2969983716858","17.3584441918339","17.450612922056","17.5120587422041","17.5120587422041","18.1265169436849","18.3723002242772","18.4306737534179","18.3415773142032","18.2494085839811","18.1572398537589","18.0650711235368","17.9729023933147","17.8807336630926","17.2539862975821","17.1126609112415","16.9805523979231","16.7747089004271","16.5903714399828","16.4029616885311","16.4920581277459","16.9160342867676","16.9467571968417","16.7869980644567","16.599588313005","17.063504255123","17.4137454299671","17.7056130756705","18.4337460444253","19.9318459461197","21.3732360410171","21.2526163258735","21.2242396878124","20.8646434676041","20.5050472473958","20.4727964653143","20.3489534621215","20.2615538426807","20.3179927113232","20.7617634727642","20.6446931338085","20.7140323152836","20.6711387751153","","","",
"Vietnam","VNM","Land under cereal production (hectares)","AG.LND.CREL.HA","","5004200","5150880","4769270","5244800","5103700","4948800","5025800","5132800","5172000","4958100","4928200","5135500","5270000","5361920","5123000","5633900","5871600","5855000","5859500","5989800","6036500","6093100","5990000","6061500","6115600","6104000","6008700","6251300","6420600","6474600","6750300","6953400","7055900","7133300","7322400","7619000","7762600","8012400","8347300","8398412","8224072","8322594","8366800","8437800","8383400","8359495","8305085","8842030","8528027","8617435","8778345","8919116","9074835","8996724","","",
"Vietnam","VNM","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.44397677347998","1.45933822851701","1.47469968355403","1.49006113859105","1.50542259362807","1.52078404866509","1.53614550370211","1.55150695873913","1.56686841377615","1.58222986881317","1.5975913238502","1.61295277888722","1.62831423392424","1.64367568896126","1.65903714399828","1.68976005407232","1.72048296414636","1.73584441918339","1.84337460444253","1.93554333466466","2.05843497496083","2.15060370518296","2.27349534547912","2.36566407570125","2.4731942609604","2.5500015361455","2.64217026636763","2.82650772681188","3.01084518725614","3.21054410273741","3.24741159482626","3.65909858981843","3.81885772220345","4.14144827798089","4.14144827798089","4.45482196073612","4.71289440535808","5.06928016221697","5.44102737411288","6.23030926509355","7.04619242019994","7.12606665593302","7.46283097365111","8.65643241848615","9.84971135550037","9.95904150675654","10.0332183055439","10.6953268616764","10.8040119972909","11.8973135098526","12.0940432805496","12.2165962524591","12.3268939271777","","","",
