date,macd,ma5,roc,rsi,clicks,decision
1494054000,-3.96153846154,16.4,2.5,611.111111111,21,-1.0
1494057600,-2.00641025641,19.2,23.0,675.0,24,1.0
1494061200,0.0512820512821,22.6,3.5,271.428571429,27,1.0
1494064800,1.69871794872,23.6,3.4,271.428571429,22,-1.0
1494068400,3.12179487179,22.8,9.0,371.428571429,20,-1.0
1494072000,3.64102564103,22.0,0.214285714286,433.333333333,17,-1.0
1494075600,2.04487179487,21.0,-0.441176470588,317.647058824,19,1.0
1494079200,1.39743589744,18.2,-0.458333333333,-4200.0,13,-1.0
1494082800,2.71153846154,17.2,0.7,-152.941176471,17,1.0
1494086400,3.17307692308,16.4,0.6,-325.0,16,-1.0
1494090000,3.44230769231,15.2,-0.352941176471,2600.0,11,-1.0
1494093600,2.55128205128,12.4,-0.791666666667,-520.0,5,-1.0
1494097200,1.44230769231,10.6,-0.809523809524,-146.153846154,4,-1.0
1494100800,0.147435897436,7.6,-0.916666666667,-54.5454545455,2,-1.0
1494104400,-1.51282051282,6.0,-0.703703703704,-138.461538462,8,1.0
1494108000,-2.90384615385,5.6,-0.590909090909,-106.666666667,9,1.0
1494111600,-3.35256410256,9.0,0.1,-520.0,22,1.0
1494115200,-3.94871794872,11.0,-0.176470588235,-325.0,14,-1.0
1494118800,-4.37820512821,15.4,0.263157894737,900.0,24,1.0
1494122400,-4.20512820513,17.0,0.230769230769,-3600.0,16,-1.0
1494126000,-3.32692307692,19.6,0.294117647059,1333.33333333,22,1.0
1494129600,-3.10897435897,18.0,-0.125,4000.0,14,-1.0
1494133200,-3.01282051282,18.0,0.272727272727,-1200.0,14,0.0
1494136800,-2.37179487179,16.2,2.0,-3700.0,15,1.0
1494140400,-1.19871794872,16.8,3.75,512.5,19,1.0
1494144000,0.320512820513,15.8,7.5,341.666666667,17,-1.0
1494147600,1.40384615385,17.2,1.625,264.705882353,21,1.0
1494151200,2.11538461538,16.8,0.333333333333,450.0,12,-1.0
1494154800,1.99358974359,16.8,-0.318181818182,600.0,15,1.0
1494158400,2.57051282051,17.0,0.428571428571,418.181818182,20,1.0
1494162000,2.55128205128,19.0,0.125,800.0,27,1.0
1494165600,3.08333333333,20.2,0.6875,307.692307692,27,0.0
1494169200,3.55128205128,24.8,0.590909090909,345.454545455,35,1.0
1494172800,3.42307692308,24.2,-0.142857142857,-950.0,12,-1.0
1494176400,3.13461538462,21.2,-0.642857142857,-188.235294118,5,-1.0
1494180000,2.76923076923,17.0,-0.6,-412.5,6,1.0
1494183600,1.69871794872,12.0,-0.894736842105,-275.0,2,-1.0
1494187200,0.519230769231,5.2,-0.941176470588,-228.571428571,1,-1.0
1494190800,-0.807692307692,4.0,-0.714285714286,-253.846153846,6,1.0
1494194400,-1.14743589744,5.6,0.0833333333333,-1000.0,13,1.0
1494198000,-1.19230769231,8.4,0.333333333333,-4300.0,20,1.0
1494201600,-1.39102564103,13.0,0.25,369.230769231,25,1.0
1494205200,-1.44871794872,18.8,0.111111111111,333.333333333,30,1.0
1494208800,-1.99358974359,22.8,-0.037037037037,750.0,26,-1.0
1494212400,-2.73076923077,25.8,-0.2,4000.0,28,1.0
1494216000,-1.85897435897,27.4,1.33333333333,4000.0,28,0.0
1494219600,-0.307692307692,27.4,4.0,-320.0,25,-1.0
1494223200,0.762820512821,26.0,2.83333333333,290.909090909,23,-1.0
1494226800,2.66025641026,27.6,16.0,148.275862069,34,1.0
1494234000,4.32051282051,27.2,25.0,210.0,26,-1.0
1494244800,5.22435897436,24.6,1.5,323.076923077,15,-1.0
1494248400,5.60256410256,23.2,0.384615384615,264.705882353,18,1.0
1494252000,5.55128205128,22.2,-0.1,333.333333333,18,0.0
1494255600,4.64743589744,18.6,-0.36,1100.0,16,-1.0
1494259200,3.57692307692,17.2,-0.366666666667,-2900.0,19,1.0
1494262800,2.40384615385,15.2,-0.807692307692,-120.0,5,-1.0
1494266400,1.15384615385,11.8,-0.964285714286,-65.5172413793,1,-1.0
1494270000,-0.0961538461538,8.4,-0.964285714286,-76.0,1,0.0
1494273600,-0.519230769231,6.6,-0.72,-109.523809524,7,1.0
1494277200,-1.61538461538,4.4,-0.652173913043,-120.0,8,1.0
1494280800,-3.80769230769,5.4,-0.705882352941,-173.333333333,10,1.0
1494284400,-4.89102564103,9.0,-0.269230769231,-875.0,19,1.0
1494288000,-5.16666666667,12.8,0.333333333333,-178.571428571,20,1.0
1494291600,-5.59615384615,16.0,0.277777777778,-933.333333333,23,1.0
1494295200,-6.01282051282,18.2,0.0555555555556,700.0,19,-1.0
1494298800,-5.54487179487,22.0,0.8125,318.181818182,29,1.0
1494302400,-4.87820512821,24.8,0.736842105263,260.0,33,1.0
1494306000,-2.94230769231,27.0,5.2,260.0,31,-1.0
1494309600,-0.839743589744,27.0,22.0,900.0,23,-1.0
1494313200,0.839743589744,26.6,16.0,300.0,17,-1.0
1494316800,2.72435897436,27.0,3.42857142857,166.666666667,31,1.0
1494320400,4.12179487179,24.8,1.75,238.095238095,22,-1.0
1494324000,4.87820512821,21.4,0.4,628.571428571,14,-1.0
1494327600,5.48076923077,22.6,0.526315789474,276.19047619,29,1.0
1494331200,5.92948717949,22.8,-0.1,700.0,18,-1.0
1494334800,6.04487179487,21.2,0.0,1300.0,23,1.0
1494338400,5.75641025641,20.0,-0.157894736842,-1275.0,16,-1.0
1494342000,4.97435897436,21.4,-0.275862068966,-2650.0,21,1.0
1494345600,3.67948717949,19.0,-0.484848484848,-2650.0,17,-1.0
1494349200,2.29487179487,18.0,-0.58064516129,-268.75,13,-1.0
1494352800,1.37820512821,14.6,-0.739130434783,-144.444444444,6,-1.0
1494356400,0.24358974359,11.8,-0.882352941176,-134.482758621,2,-1.0
1494360000,-2.21153846154,8.0,-0.935483870968,-185.714285714,2,0.0
1494363600,-3.87179487179,5.2,-0.863636363636,-285.714285714,3,1.0
1494367200,-4.41025641026,4.2,-0.428571428571,-134.782608696,8,1.0
1494370800,-5.39743589744,8.0,-0.137931034483,1600.0,25,1.0
1494374400,-5.75,11.0,-0.0555555555556,1600.0,17,-1.0
